zip,lat,lng
75831,31.46233,-96.01473
75832,31.91903,-95.9946
75833,31.26718,-95.83899
75835,31.2935,-95.49194
75838,31.47744,-96.22823
75839,31.606,-95.5779
75840,31.78236,-96.089
75844,31.51376,-95.43842
75845,31.10075,-95.08953
75846,31.33863,-96.16545
75847,31.35383,-95.14609
75848,31.76525,-96.32993
75849,31.4175,-95.48166
75850,31.13743,-95.91682
75851,31.09325,-95.49714
75852,30.96687,-95.71167
75853,31.93692,-95.81322
75855,31.5622,-95.85025
75856,31.18888,-95.25573
75858,31.39076,-95.12694
75859,31.8816,-96.24023
75860,31.6209,-96.24864
75861,31.85323,-95.89241
75862,30.95984,-95.32384
75901,31.30134,-94.65552
75904,31.33969,-94.82173
75925,31.61115,-95.06597
75926,31.25151,-94.96273
75928,30.67149,-93.71174
75929,31.2455,-94.19467
75930,31.322,-94.03264
75931,31.1108,-94.00384
75932,31.05408,-93.60987
75933,30.5581,-93.81161
75934,30.8959,-94.75068
75935,31.73268,-94.20157
75936,30.95212,-94.57962
75937,31.45872,-94.3765
75938,30.93261,-94.35343
75939,31.01825,-94.79404
75941,31.17991,-94.76368
75942,30.8163,-94.43156
75943,31.65356,-94.88784
75944,31.33734,-94.38859
75946,31.8136,-94.5254
75948,31.30812,-93.77894
75949,31.23143,-94.51943
75951,30.94151,-94.05383
75954,31.92347,-94.05437
75956,30.67771,-93.97824
75959,31.51451,-93.84929
75960,30.91444,-94.86708
75961,31.56112,-94.50001
75962,31.61986,-94.64708
75964,31.62169,-94.74495
75965,31.72385,-94.62609
75966,30.8352,-93.72844
75968,31.25262,-93.95041
75969,31.44688,-94.89891
75972,31.49499,-94.12708
75973,31.71653,-93.93295
75974,31.95671,-94.23869
75975,31.89738,-94.41302
75976,31.52059,-94.92748
75977,31.06121,-93.78207
75978,31.50912,-94.52722
75979,30.7763,-94.4015
75980,31.12666,-94.35255
76001,32.63041,-97.15278
76002,32.62262,-97.09226
76006,32.78493,-97.10019
76008,32.69283,-97.6237
76009,32.41579,-97.20169
76010,32.72283,-97.08035
76011,32.75425,-97.08254
76012,32.75461,-97.13902
76013,32.72033,-97.15646
76014,32.69202,-97.08794
76015,32.69221,-97.13341
76016,32.68906,-97.18871
76017,32.66204,-97.16261
76018,32.66077,-97.09
76020,32.90004,-97.56544
76021,32.85231,-97.13119
76022,32.83064,-97.14522
76023,33.0485,-97.60577
76028,32.52605,-97.30317
76031,32.34848,-97.33114
76033,32.28511,-97.51137
76034,32.89119,-97.14877
76035,32.56288,-97.63361
76036,32.57702,-97.41283
76039,32.85936,-97.08383
76040,32.8147,-97.09677
76041,32.24004,-96.84635
76043,32.20528,-97.79713
76044,32.42759,-97.54354
76048,32.42318,-97.80877
76049,32.46394,-97.70805
76050,32.27536,-97.16601
76051,32.92498,-97.07177
76052,32.98625,-97.37657
76053,32.8171,-97.17951
76054,32.85918,-97.17782
76055,32.16217,-97.15511
76058,32.46692,-97.42395
76059,32.39253,-97.32686
76060,32.64076,-97.21584
76061,32.50396,-97.18842
76063,32.5698,-97.14273
76064,32.30137,-97.03549
76065,32.47047,-96.98898
76066,32.70727,-97.99502
76067,32.80005,-98.12755
76070,32.26241,-97.65425
76071,33.00546,-97.4794
76073,33.10347,-97.72734
76077,32.28213,-97.70548
76078,33.08916,-97.46658
76082,32.9705,-97.71843
76084,32.4322,-97.08947
76085,32.8503,-97.70076
76086,32.75481,-97.78995
76087,32.67075,-97.78314
76088,32.84576,-97.90141
76092,32.95998,-97.14859
76093,32.21723,-97.3949
76102,32.75923,-97.32978
76103,32.75207,-97.26549
76104,32.7287,-97.31777
76105,32.72406,-97.26935
76106,32.81451,-97.35244
76107,32.74171,-97.38196
76108,32.77595,-97.52195
76109,32.701,-97.38392
